"Data generated on Tuesday, February 14, 2017 at 2:19:27 PM EST"
Area/Partners of Destination,,,,,January - December
And Commodities Exported,,,,,Values in Thousands of dollars
,,,,,2011,2012,2013,2014,2015,2016,
,Partner,,HS Code,Product,Value,Value,Value,Value,Value,Value,Reporter Code,Partner Code,Product Code,
"1","World Total","1","0808100050","APPLES FRESH","895,532","980,728","970,348","959,546","922,993","838,816","US","R00","0808100050",
"1","World Total","2","0806100050","GRAPES FRESH","659,400","759,666","853,094","809,105","693,245","719,957","US","R00","0806100050",
"1","World Total","3","0901210050","COFFEE RST ND","734,003","810,071","722,204","698,114","676,554","654,384","US","R00","0901210050",
"1","World Total","4","0805100065","ORANGES NES FR/D","502,749","532,644","497,659","461,639","495,835","549,778","US","R00","0805100065",
"1","World Total","5","0809290050","CHER N/SR FR","0","492,074","401,409","440,696","415,273","448,234","US","R00","0809290050",
"1","World Total","6","0810100050","STRAWBERRIES FR","344,235","368,080","384,846","374,768","359,504","363,677","US","R00","0810100050",
"1","World Total","7","0705190050","LETTUCE X HD FR","278,377","275,100","305,394","306,946","345,344","306,913","US","R00","0705190050",
"1","World Total","8","2103204050","TMTO SAUCES NES","178,323","203,682","216,726","220,279","219,872","219,627","US","R00","2103204050",
"1","World Total","9","0805502050","LEMONS FR/D","108,743","119,115","162,953","205,183","183,431","162,334","US","R00","0805502050",
"1","World Total","10","0808300050","PEARS, FRESH","0","188,713","197,172","198,586","168,742","142,705","US","R00","0808300050",
"1","World Total","11","0704100050","CAULFLOWER FR/CH","106,798","102,358","123,068","111,243","111,230","117,087","US","R00","0704100050",
"1","World Total","12","0704904030","BROCCOLI FR/CH","105,786","118,932","117,967","117,980","109,287","109,418","US","R00","0704904030",
"1","World Total","13","0805400050","GRAPEFRUIT,FRESH","0","157,081","132,661","119,200","117,705","98,434","US","R00","0805400050",
"1","World Total","14","0702000065","TOMATOES OTHER","150,671","126,001","128,150","136,313","99,285","91,507","US","R00","0702000065",
"1","World Total","15","0705110050","HD LETTUCE FR/CH","99,716","95,663","108,704","99,367","109,244","88,238","US","R00","0705110050",
"1","World Total","16","0706103050","CARROTS FR/CH","109,561","97,275","97,415","89,553","85,206","80,427","US","R00","0706103050",
"1","World Total","17","0709700050","SPINACH FR/CH","52,497","56,825","67,295","77,588","82,132","78,611","US","R00","0709700050",
"1","World Total","18","0810400029","CULT BLUEBERS FR","80,079","99,595","99,755","87,720","79,878","78,142","US","R00","0810400029",
"1","World Total","19","0709400050","CELERY FR/CH","70,986","72,617","89,606","71,785","80,040","76,278","US","R00","0709400050",
"1","World Total","20","0709600050","PEPPERS FR/CH","85,255","78,295","84,507","85,196","78,901","75,907","US","R00","0709600050",
"1","World Total","21","0704902050","CABBAGE, FR/CH","0","28,175","38,972","32,897","37,685","48,901","US","R00","0704902050",
"1","World Total","22","0703100050","ONION SETS FR/CH","12,137","20,881","27,040","27,389","23,832","33,111","US","R00","0703100050",
"1","World Total","23","0707000050","CUCMBERS,FR/CH","0","17,223","16,612","16,964","16,314","14,919","US","R00","0707000050",
"1","World Total","24","0702000045","CHERRY TOMATO","10,973","6,955","9,623","8,425","9,807","9,929","US","R00","0702000045",
"1","World Total","25","0702000055","ROMA PLUM TOMATO","18,234","12,802","10,946","9,674","9,705","9,323","US","R00","0702000055",
"1","World Total","26","0706903500","BEET FC","0","0","0","0","3,740","3,669","US","R00","0706903500",
"1","World Total","27","0808200050","PEARS/QUINCE FR","170,114","0","0","0","0","0","US","R00","0808200050",
"1","World Total","28","0809200050","CHERRIES FR","384,164","0","0","0","0","0","US","R00","0809200050",
"2","Canada","1","0901210050","COFFEE RST ND","555,439","621,483","538,644","551,728","500,836","454,736","US","CA","0901210050",
"2","Canada","2","0705190050","LETTUCE X HD FR","266,159","253,409","279,936","276,766","320,754","284,674","US","CA","0705190050",
"2","Canada","3","0810100050","STRAWBERRIES FR","295,086","308,313","315,035","295,425","280,155","277,007","US","CA","0810100050",
"2","Canada","4","0806100050","GRAPES FRESH","193,475","213,999","211,311","214,758","211,172","212,509","US","CA","0806100050",
"2","Canada","5","0808100050","APPLES FRESH","154,010","178,321","191,733","177,157","149,826","178,614","US","CA","0808100050",
"2","Canada","6","2103204050","TMTO SAUCES NES","137,847","145,481","148,894","153,461","143,605","143,628","US","CA","2103204050",
"2","Canada","7","0805100065","ORANGES NES FR/D","134,768","126,831","133,061","128,535","123,663","132,864","US","CA","0805100065",
"2","Canada","8","0809290050","CHER N/SR FR","0","145,427","128,424","121,204","107,862","104,471","US","CA","0809290050",
"2","Canada","9","0704100050","CAULFLOWER FR/CH","88,994","78,676","100,088","91,407","99,029","101,228","US","CA","0704100050",
"2","Canada","10","0702000065","TOMATOES OTHER","110,807","97,637","102,692","106,875","89,116","87,217","US","CA","0702000065",
"2","Canada","11","0706103050","CARROTS FR/CH","99,245","88,051","88,219","81,948","78,980","76,076","US","CA","0706103050",
"2","Canada","12","0709700050","SPINACH FR/CH","52,326","56,431","66,609","76,116","80,234","76,046","US","CA","0709700050",
"2","Canada","13","0709600050","PEPPERS FR/CH","81,836","74,855","81,448","82,013","75,503","72,638","US","CA","0709600050",
"2","Canada","14","0705110050","HD LETTUCE FR/CH","80,880","64,830","82,522","77,042","83,918","69,569","US","CA","0705110050",
"2","Canada","15","0704904030","BROCCOLI FR/CH","65,015","71,915","81,481","82,068","83,588","65,776","US","CA","0704904030",
"2","Canada","16","0810400029","CULT BLUEBERS FR","69,892","87,013","85,741","72,041","64,799","65,719","US","CA","0810400029",
"2","Canada","17","0709400050","CELERY FR/CH","58,301","53,335","69,174","55,537","64,629","60,868","US","CA","0709400050",
"2","Canada","18","0805502050","LEMONS FR/D","33,529","35,263","42,423","46,088","43,062","48,475","US","CA","0805502050",
"2","Canada","19","0704902050","CABBAGE, FR/CH","0","22,371","37,588","31,713","36,469","47,740","US","CA","0704902050",
"2","Canada","20","0808300050","PEARS, FRESH","0","55,036","52,531","54,432","50,926","46,891","US","CA","0808300050",
"2","Canada","21","0805400050","GRAPEFRUIT,FRESH","0","26,927","23,019","22,231","23,849","20,991","US","CA","0805400050",
"2","Canada","22","0707000050","CUCMBERS,FR/CH","0","14,253","14,273","16,839","16,303","14,882","US","CA","0707000050",
"2","Canada","23","0702000055","ROMA PLUM TOMATO","8,010","6,819","7,114","7,787","8,846","8,579","US","CA","0702000055",
"2","Canada","24","0702000045","CHERRY TOMATO","10,769","4,982","8,544","7,769","8,914","7,395","US","CA","0702000045",
"2","Canada","25","0706903500","BEET FC","0","0","0","0","3,723","3,617","US","CA","0706903500",
"2","Canada","26","0703100050","ONION SETS FR/CH","1,154","1,107","1,148","1,200","1,409","2,565","US","CA","0703100050",
"2","Canada","27","0808200050","PEARS/QUINCE FR","47,781","0","0","0","0","0","US","CA","0808200050",
"2","Canada","28","0809200050","CHERRIES FR","143,666","0","0","0","0","0","US","CA","0809200050",
"3","Japan","1","0805100065","ORANGES NES FR/D","80,196","100,508","82,715","67,526","64,709","80,573","US","JA","0805100065",
"3","Japan","2","0805502050","LEMONS FR/D","44,144","46,909","57,830","62,974","66,063","56,423","US","JA","0805502050",
"3","Japan","3","0901210050","COFFEE RST ND","46,673","72,513","62,464","48,440","44,192","42,964","US","JA","0901210050",
"3","Japan","4","0805400050","GRAPEFRUIT,FRESH","0","81,608","60,041","48,130","46,630","41,645","US","JA","0805400050",
"3","Japan","5","0809290050","CHER N/SR FR","0","76,611","55,495","44,275","31,859","40,099","US","JA","0809290050",
"3","Japan","6","0806100050","GRAPES FRESH","13,617","24,855","22,683","17,481","17,074","37,259","US","JA","0806100050",
"3","Japan","7","0704904030","BROCCOLI FR/CH","34,420","38,699","29,283","32,584","23,045","36,751","US","JA","0704904030",
"3","Japan","8","2103204050","TMTO SAUCES NES","5,906","10,202","13,407","14,254","15,856","11,837","US","JA","2103204050",
"3","Japan","9","0810100050","STRAWBERRIES FR","21,732","24,009","23,005","24,483","18,354","11,199","US","JA","0810100050",
"3","Japan","10","0704100050","CAULFLOWER FR/CH","11,212","16,273","14,256","10,352","3,141","5,111","US","JA","0704100050",
"3","Japan","11","0709400050","CELERY FR/CH","3,828","6,170","6,148","3,204","4,415","4,286","US","JA","0709400050",
"3","Japan","12","0705110050","HD LETTUCE FR/CH","2,506","4,025","2,227","1,958","2,642","2,697","US","JA","0705110050",
"3","Japan","13","0703100050","ONION SETS FR/CH","632","1,515","4,141","3,196","1,163","2,345","US","JA","0703100050",
"3","Japan","14","0810400029","CULT BLUEBERS FR","6,304","6,111","4,583","5,080","2,792","2,039","US","JA","0810400029",
"3","Japan","15","0705190050","LETTUCE X HD FR","1,170","1,822","1,688","784","381","1,300","US","JA","0705190050",
"3","Japan","16","0702000065","TOMATOES OTHER","94","1,179","2,422","1,565","78","1,151","US","JA","0702000065",
"3","Japan","17","0808100050","APPLES FRESH","93","474","18","0","85","136","US","JA","0808100050",
"3","Japan","18","0706103050","CARROTS FR/CH","214","270","161","100","163","106","US","JA","0706103050",
"3","Japan","19","0704902050","CABBAGE, FR/CH","0","35","0","4","6","100","US","JA","0704902050",
"3","Japan","20","0707000050","CUCMBERS,FR/CH","0","0","0","0","0","7","US","JA","0707000050",
"3","Japan","21","0709600050","PEPPERS FR/CH","766","11","0","0","0","0","US","JA","0709600050",
"3","Japan","22","0709700050","SPINACH FR/CH","0","3","0","0","0","0","US","JA","0709700050",
"3","Japan","23","0809200050","CHERRIES FR","77,512","0","0","0","0","0","US","JA","0809200050",
"4","Korea, South","1","0805100065","ORANGES NES FR/D","80,614","149,180","95,560","100,470","153,139","150,888","US","KS","0805100065",
"4","Korea, South","2","0809290050","CHER N/SR FR","0","73,498","79,375","113,345","101,005","104,411","US","KS","0809290050",
"4","Korea, South","3","0901210050","COFFEE RST ND","31,127","34,793","39,101","25,210","27,055","45,523","US","KS","0901210050",
"4","Korea, South","4","0806100050","GRAPES FRESH","11,495","15,798","17,580","24,061","15,941","19,977","US","KS","0806100050",
"4","Korea, South","5","0805502050","LEMONS FR/D","8,877","15,484","23,889","25,015","30,227","16,619","US","KS","0805502050",
"4","Korea, South","6","2103204050","TMTO SAUCES NES","2,205","3,145","2,927","3,074","3,428","7,745","US","KS","2103204050",
"4","Korea, South","7","0805400050","GRAPEFRUIT,FRESH","0","8,445","9,403","9,698","12,887","7,740","US","KS","0805400050",
"4","Korea, South","8","0709400050","CELERY FR/CH","39","23","140","419","57","1,464","US","KS","0709400050",
"4","Korea, South","9","0810400029","CULT BLUEBERS FR","913","570","1,454","1,899","2,583","569","US","KS","0810400029",
"4","Korea, South","10","0705190050","LETTUCE X HD FR","411","3,181","2,914","1,615","340","480","US","KS","0705190050",
"4","Korea, South","11","0705110050","HD LETTUCE FR/CH","851","3,603","1,387","2,525","996","218","US","KS","0705110050",
"4","Korea, South","12","0704904030","BROCCOLI FR/CH","79","376","589","227","0","210","US","KS","0704904030",
"4","Korea, South","13","0808100050","APPLES FRESH","11","0","98","23","65","154","US","KS","0808100050",
"4","Korea, South","14","0704902050","CABBAGE, FR/CH","0","497","0","80","0","104","US","KS","0704902050",
"4","Korea, South","15","0704100050","CAULFLOWER FR/CH","44","996","266","403","86","100","US","KS","0704100050",
"4","Korea, South","16","0709600050","PEPPERS FR/CH","4","0","0","20","13","80","US","KS","0709600050",
"4","Korea, South","17","0702000065","TOMATOES OTHER","0","0","0","30","209","30","US","KS","0702000065",
"4","Korea, South","18","0810100050","STRAWBERRIES FR","45","0","0","0","0","26","US","KS","0810100050",
"4","Korea, South","19","0702000045","CHERRY TOMATO","0","0","89","0","0","0","US","KS","0702000045",
"4","Korea, South","20","0703100050","ONION SETS FR/CH","0","974","0","8","30","0","US","KS","0703100050",
"4","Korea, South","21","0706103050","CARROTS FR/CH","0","0","13","0","40","0","US","KS","0706103050",
"4","Korea, South","22","0808300050","PEARS, FRESH","0","148","30","0","0","0","US","KS","0808300050",
"4","Korea, South","23","0809200050","CHERRIES FR","39,405","0","0","0","0","0","US","KS","0809200050",
"5","Taiwan","1","0808100050","APPLES FRESH","76,407","84,347","82,139","88,754","75,377","70,635","US","TW","0808100050",
"5","Taiwan","2","0806100050","GRAPES FRESH","16,740","21,296","30,186","28,447","33,782","41,414","US","TW","0806100050",
"5","Taiwan","3","0809290050","CHER N/SR FR","0","45,980","25,816","35,099","30,442","39,791","US","TW","0809290050",
"5","Taiwan","4","0805100065","ORANGES NES FR/D","6,152","5,881","8,174","7,108","7,606","15,335","US","TW","0805100065",
"5","Taiwan","5","0901210050","COFFEE RST ND","7,205","9,992","9,042","11,239","18,159","15,240","US","TW","0901210050",
"5","Taiwan","6","0705110050","HD LETTUCE FR/CH","8,013","11,569","12,600","7,960","12,981","9,712","US","TW","0705110050",
"5","Taiwan","7","0703100050","ONION SETS FR/CH","5,901","9,200","9,746","4,793","8,278","9,081","US","TW","0703100050",
"5","Taiwan","8","0704100050","CAULFLOWER FR/CH","2,922","3,480","3,815","5,143","5,036","7,320","US","TW","0704100050",
"5","Taiwan","9","0705190050","LETTUCE X HD FR","2,662","3,405","4,833","11,351","7,676","6,618","US","TW","0705190050",
"5","Taiwan","10","0704904030","BROCCOLI FR/CH","5,117","5,520","4,493","1,445","775","4,422","US","TW","0704904030",
"5","Taiwan","11","0709400050","CELERY FR/CH","1,595","4,143","4,690","2,998","2,258","2,190","US","TW","0709400050",
"5","Taiwan","12","0808300050","PEARS, FRESH","0","1,761","3,175","2,545","2,005","2,079","US","TW","0808300050",
"5","Taiwan","13","0702000045","CHERRY TOMATO","0","18","0","0","0","1,605","US","TW","0702000045",
"5","Taiwan","14","0805502050","LEMONS FR/D","480","470","632","581","1,560","1,513","US","TW","0805502050",
"5","Taiwan","15","2103204050","TMTO SAUCES NES","1,017","1,181","1,163","1,106","1,236","1,448","US","TW","2103204050",
"5","Taiwan","16","0805400050","GRAPEFRUIT,FRESH","0","716","429","983","577","826","US","TW","0805400050",
"5","Taiwan","17","0810400029","CULT BLUEBERS FR","227","1,520","1,156","2,311","1,956","790","US","TW","0810400029",
"5","Taiwan","18","0810100050","STRAWBERRIES FR","192","620","868","1,272","864","750","US","TW","0810100050",
"5","Taiwan","19","0706103050","CARROTS FR/CH","24","218","82","34","23","226","US","TW","0706103050",
"5","Taiwan","20","0702000065","TOMATOES OTHER","0","10","0","0","0","209","US","TW","0702000065",
"5","Taiwan","21","0704902050","CABBAGE, FR/CH","0","1,990","67","21","103","91","US","TW","0704902050",
"5","Taiwan","22","0709600050","PEPPERS FR/CH","7","18","15","19","24","18","US","TW","0709600050",
"5","Taiwan","23","0709700050","SPINACH FR/CH","0","0","0","0","0","3","US","TW","0709700050",
"5","Taiwan","24","0808200050","PEARS/QUINCE FR","2,313","0","0","0","0","0","US","TW","0808200050",
"5","Taiwan","25","0809200050","CHERRIES FR","29,278","0","0","0","0","0","US","TW","0809200050",
"6","European Union-28","1","0901210050","COFFEE RST ND","16,427","9,364","8,651","9,001","24,051","34,688","US","R25","0901210050",
"6","European Union-28","2","0805400050","GRAPEFRUIT,FRESH","0","35,863","34,809","33,271","28,216","22,715","US","R25","0805400050",
"6","European Union-28","3","0806100050","GRAPES FRESH","5,992","8,610","16,762","14,385","6,636","12,256","US","R25","0806100050",
"6","European Union-28","4","0703100050","ONION SETS FR/CH","41","254","29","12","11","10,621","US","R25","0703100050",
"6","European Union-28","5","0810400029","CULT BLUEBERS FR","109","1,076","2,263","488","1,744","6,168","US","R25","0810400029",
"6","European Union-28","6","0808100050","APPLES FRESH","14,712","16,233","16,902","11,180","8,437","4,634","US","R25","0808100050",
"6","European Union-28","7","0809290050","CHER N/SR FR","0","17,922","8,409","7,772","6,002","4,287","US","R25","0809290050",
"6","European Union-28","8","0810100050","STRAWBERRIES FR","6,735","5,237","5,675","5,382","3,054","3,440","US","R25","0810100050",
"6","European Union-28","9","2103204050","TMTO SAUCES NES","3,556","5,002","5,393","3,951","4,135","3,178","US","R25","2103204050",
"6","European Union-28","10","0705110050","HD LETTUCE FR/CH","12","268","256","140","181","333","US","R25","0705110050",
"6","European Union-28","11","0706103050","CARROTS FR/CH","2,957","1,620","2,231","323","138","232","US","R25","0706103050",
"6","European Union-28","12","0709600050","PEPPERS FR/CH","191","11","182","273","749","219","US","R25","0709600050",
"6","European Union-28","13","0805502050","LEMONS FR/D","0","105","28","45","4","209","US","R25","0805502050",
"6","European Union-28","14","0705190050","LETTUCE X HD FR","456","958","574","278","210","131","US","R25","0705190050",
"6","European Union-28","15","0805100065","ORANGES NES FR/D","461","57","461","95","181","125","US","R25","0805100065",
"6","European Union-28","16","0704100050","CAULFLOWER FR/CH","0","239","875","128","0","122","US","R25","0704100050",
"6","European Union-28","17","0704904030","BROCCOLI FR/CH","4","450","95","0","13","46","US","R25","0704904030",
"6","European Union-28","18","0704902050","CABBAGE, FR/CH","0","361","0","4","9","25","US","R25","0704902050",
"6","European Union-28","19","0706903500","BEET FC","0","0","0","0","0","20","US","R25","0706903500",
"6","European Union-28","20","0702000065","TOMATOES OTHER","0","3","0","0","0","10","US","R25","0702000065",
"6","European Union-28","21","0709700050","SPINACH FR/CH","0","0","0","3","6","9","US","R25","0709700050",
"6","European Union-28","22","0808300050","PEARS, FRESH","0","2,638","2,271","1,137","390","4","US","R25","0808300050",
"6","European Union-28","23","0702000045","CHERRY TOMATO","0","409","0","0","30","3","US","R25","0702000045",
"6","European Union-28","24","0702000055","ROMA PLUM TOMATO","0","0","0","4","0","0","US","R25","0702000055",
"6","European Union-28","25","0709400050","CELERY FR/CH","0","0","0","0","20","0","US","R25","0709400050",
"6","European Union-28","26","0808200050","PEARS/QUINCE FR","2,498","0","0","0","0","0","US","R25","0808200050",
"6","European Union-28","27","0809200050","CHERRIES FR","14,519","0","0","0","0","0","US","R25","0809200050",
"7","Switzerland(!)","1","0805400050","GRAPEFRUIT,FRESH","0","791","976","758","773","760","US","SR","0805400050",
"7","Switzerland(!)","2","0901210050","COFFEE RST ND","437","168","4","21","8","17","US","SR","0901210050",
"7","Switzerland(!)","3","2103204050","TMTO SAUCES NES","206","561","5","0","0","5","US","SR","2103204050",
"7","Switzerland(!)","4","0805100065","ORANGES NES FR/D","144","0","81","19","0","0","US","SR","0805100065",
"7","Switzerland(!)","5","0805502050","LEMONS FR/D","1,455","227","0","318","0","0","US","SR","0805502050",
"7","Switzerland(!)","6","0806100050","GRAPES FRESH","392","73","0","0","0","0","US","SR","0806100050",
"7","Switzerland(!)","7","0808100050","APPLES FRESH","150","0","0","0","24","0","US","SR","0808100050",
"7","Switzerland(!)","8","0808200050","PEARS/QUINCE FR","64","0","0","0","0","0","US","SR","0808200050",
"7","Switzerland(!)","9","0808300050","PEARS, FRESH","0","34","0","0","0","0","US","SR","0808300050",
"7","Switzerland(!)","10","0810400029","CULT BLUEBERS FR","0","0","0","4","0","0","US","SR","0810400029",
"","Grand Total","","","","8,612,230","9,799,698","9,783,213","9,595,009","9,272,444","9,155,044",
"Notes:"
"1. Data Source: U.S. Census Bureau Trade Data"
"2. (!) denotes a country which is summarized into its obsolete country."
"3. Product Group : FAS &#40;Agricultural&#41;"