"Data generated on Sunday, February 19, 2017 at 9:06:26 PM EST"
Area/Partners of Destination,,,,,January - December
And Commodities Exported,,,,,Values in Thousands of dollars
,,,,,2011,2012,2013,2014,2015,2016,
,Partner,,HS Code,Product,Value,Value,Value,Value,Value,Value,Reporter Code,Partner Code,Product Code,
"1","World Total","1","0708100000","PEAS, FR/CH","22,720","26,088","30,683","28,848","0","0","US","R00","0708100000",
"2","European Union-28","1","0708100000","PEAS, FR/CH","0","39","80","543","0","0","US","R25","0708100000",
"3","Canada","1","0708100000","PEAS, FR/CH","21,192","24,929","27,061","27,028","0","0","US","CA","0708100000",
"4","Japan","1","0708100000","PEAS, FR/CH","87","62","69","11","0","0","US","JA","0708100000",
"5","Taiwan","1","0708100000","PEAS, FR/CH","72","0","0","0","0","0","US","TW","0708100000",
"","Grand Total","","","","44,070","51,118","57,894","56,429","0","0",
"Notes:"
"1. Data Source: U.S. Census Bureau Trade Data"
"2. Product Group : FAS &#40;Agricultural&#41;"